ID,Categoria,Fonte,Tipo,Instituição,Tema,Regra ou conhecimento extraído,Skill alimentada,Aplicação prática,Confiabilidade,Atualização necessária,Observações
MM-062,Metrologia,VIM - Vocabulário Internacional de Metrologia,Vocabulário técnico,Inmetro/BIPM/JCGM,Terminologia metrológica,"Usar termos técnicos consistentes para medição, calibração, rastreabilidade, erro, incerteza, repetibilidade e reprodutibilidade.",pericia-08-laudo-mecanico; pericia-09-revisao-impugnacao; pericia-12-biblioteca-normas,Criar glossário metrológico e padronizar linguagem do laudo.,Alta,Sim - verificar versão,Evita ambiguidade técnica.
MM-063,Metrologia,"RBC/Inmetro, NIT-DICLA-030, NIT-DICLA-021 e DOQ-Cgcre",Documento técnico institucional,Inmetro/Cgcre,"Rastreabilidade, acreditação e calibração","Certificado deve ter laboratório, escopo, data, instrumento, grandeza, rastreabilidade e incerteza coerentes.",pericia-02-analise-documental; pericia-06-inventario-evidencias; pericia-12-biblioteca-normas,"Verificar laboratório acreditado, escopo e validade frente ao evento.",Alta,Sim - verificar base RBC e documentos Cgcre,Fonte pública institucional.
MM-064,Metrologia,ABNT ISO 10012 e ABNT ISO 5725,Normas técnicas pagas,ABNT,"Gestão de medição, exatidão e precisão","Processos de medição precisam ser controlados; comparação de resultados requer atenção a repetibilidade, reprodutibilidade e precisão.",pericia-06-inventario-evidencias; pericia-09-revisao-impugnacao,"Criticar medições inconsistentes, instrumentos sem controle e resultados incompatíveis.",Alta,Sim - confirmar edição/licença,Normas pagas.
MM-065,Manutenção,ABNT NBR 5462,Norma técnica paga,ABNT,Confiabilidade e mantenabilidade,"Padroniza vocabulário de falha, defeito, manutenção, confiabilidade e mantenabilidade.",pericia-02-analise-documental; pericia-08-laudo-mecanico; pericia-09-revisao-impugnacao,"Evitar confundir falha, defeito, dano, mau uso, desgaste e manutenção.",Alta,Sim - confirmar edição/licença,Não copiar integralmente.
MM-066,Manutenção,ABNT NBR ISO 14224,Norma técnica paga,ABNT/ISO,Dados de confiabilidade e manutenção,"Históricos de manutenção devem ser coletados de forma estruturada por equipamento, modo de falha, causa, consequência e intervenção.",pericia-02-analise-documental; pericia-06-inventario-evidencias; pericia-08-laudo-mecanico,"Estruturar coleta de OS, logs, paradas, MTBF, peças e recorrência.",Alta,Sim - confirmar edição no catálogo,Referência técnica paga.
MM-067,Manutenção,ABNT NBR ISO 17359,Norma técnica paga,ABNT/ISO,Monitoramento de condição e diagnóstico de máquinas,"Condição de máquina deve considerar vibração, temperatura, lubrificação, ruído, inspeção e tendência histórica.",pericia-05-roteiro-diligencia; pericia-06-inventario-evidencias,Criar checklist para manutenção preditiva e dados de condição.,Alta,Sim - confirmar edição no catálogo,Referência técnica paga.
MM-068,Manutenção,Reliability-centered Maintenance,Livro técnico comercial,Elsevier,RCM e criticidade funcional,"A adequação de manutenção depende de função, modo de falha, consequência, criticidade e tarefa preventiva/preditiva aplicável.",pericia-08-laudo-mecanico; pericia-09-revisao-impugnacao,Discutir evitabilidade da falha e suficiência do plano de manutenção.,Alta,Sim - verificar edição/licença,Fonte consultiva técnica.
MM-069,Manutenção,Practical Machinery Vibration Analysis and Predictive Maintenance,Livro técnico comercial,Elsevier,Vibração e manutenção preditiva,"Falhas por desalinhamento, desbalanceamento, folga e rolamentos podem demandar análise de vibração e tendência.",pericia-05-roteiro-diligencia; pericia-08-laudo-mecanico,"Definir medições, dados preditivos e hipóteses mecânicas.",Alta,Sim - verificar edição/licença,Fonte consultiva técnica.
MM-070,Normas técnicas,ABNT Catálogo e ABNT Coleção,Catálogo/licenciamento,ABNT,Obtenção legal de normas,"Normas pagas devem ser adquiridas ou consultadas legalmente; na base, guardar ficha, escopo, edição, índice de uso e notas próprias.",pericia-12-biblioteca-normas,"Controlar licença, edição, data de consulta e restrição de armazenamento.",Alta,Sim - verificar edição antes de citar,Regra de copyright central.
MM-071,Normas técnicas,ABNT NBR 14653-1 e ABNT NBR 14653-5,Normas técnicas pagas,ABNT,"Avaliação de bens, máquinas e equipamentos","Quando o litígio envolver valor, depreciação, vida útil, custo de reposição ou bens industriais, aplicar a família 14653, especialmente Parte 5.",pericia-06-inventario-evidencias; pericia-08-laudo-mecanico; pericia-12-biblioteca-normas,Criar ficha de avaliação de máquinas e coleta de dados patrimoniais.,Alta,Sim - confirmar edição/licença,Não substitui análise de falhas ou NR-12.
MM-072,Normas técnicas,ABNT NBR 16747,Norma técnica paga,ABNT,Inspeção sistemática por analogia,"Embora predial, fornece lógica útil de anamnese, inspeção, classificação de anomalias e recomendações quando máquina está em instalação/edificação.",pericia-05-roteiro-diligencia; pericia-12-biblioteca-normas,Usar por analogia apenas quando ajudar o método de inspeção.,Alta,Sim - confirmar edição/licença,Não é norma de mecânica.
MM-073,Normas técnicas,"IBAPE Nacional - Coletânea Técnica, diretrizes e biblioteca",Publicação institucional,IBAPE Nacional/IBAPE-SP,Apoio técnico e metodológico,"Boletins, diretrizes e cartilhas ajudam a transformar normas e prática em roteiro pericial.",pericia-02-analise-documental; pericia-08-laudo-mecanico; pericia-12-biblioteca-normas,"Catalogar PDFs públicos, edição, status e aplicação por skill.",Alta,Sim - verificar edição e status,Fonte consultiva institucional.
MM-074,Revisão contra impugnação,"Código de Processo Civil, arts. 477, 479 e 480",Lei processual,Presidência da República,"Manifestação das partes, valoração e segunda perícia","Após laudo, partes podem se manifestar; o perito esclarece pontos; juiz valora o método e pode determinar segunda perícia.",pericia-09-revisao-impugnacao; pericia-10-peticoes,"Responder impugnação ponto a ponto e identificar omissão real, esclarecimento ou complementação.",Alta,Sim - verificar vigência/edição antes de uso externo,Fonte obrigatória.
MM-075,Revisão contra impugnação,Resolução Confea 1.002/2002,Código de ética profissional,Confea,Postura técnica e imparcialidade,"A revisão deve preservar imparcialidade, diligência e responsabilidade, evitando resposta defensiva ou pessoal.",pericia-09-revisao-impugnacao; pericia-10-peticoes,"Auditar linguagem, tom, escopo e correção de erro material.",Alta,Sim - verificar versão,Fonte profissional obrigatória.
MM-076,Revisão contra impugnação,IBAPE/SP - Cartilha Perícias Judiciais,Cartilha institucional,IBAPE/SP,Parecer do assistente e esclarecimentos,O parecer do assistente deve ficar nas questões técnicas; esclarecimentos podem corrigir ou complementar sem virar defesa de parte.,pericia-09-revisao-impugnacao,"Criar matriz de impugnação com alegação, trecho do laudo, resposta e providência.",Alta,Sim - citar edição,Boa prática.
MM-077,Revisão contra impugnação,CNJ - Linguagem Simples,Guia institucional,CNJ,Resposta clara e compreensível,"Esclarecimentos devem ser objetivos, rastreáveis e compreensíveis ao juízo e às partes.",pericia-09-revisao-impugnacao; pericia-10-peticoes,Evitar tom combativo e responder por pontos numerados.,Alta,Sim - verificar edição,Fonte consultiva.
MM-078,Petições,"Código de Processo Civil, arts. 95, 148, 149, 157, 465, 466, 474 e 477",Lei processual,Presidência da República,Manifestações do perito,"Aceite, escusa, impedimento, honorários, documentos, comunicação de diligência, prorrogação, juntada e esclarecimentos devem ter pedido claro e fundamento suficiente.",pericia-10-peticoes,"Gerar peças padronizadas com objeto, fundamento, pedido e anexos.",Alta,Sim - verificar vigência/edição antes de uso externo,Fonte obrigatória.
MM-079,Petições,Manual do Perito no PJe do TJCE e Resolução OE TJCE 07/2024,Manual e resolução local,TJCE,"Protocolo, cadastro e pagamento",Atos do perito no TJCE precisam respeitar fluxo PJe/SIPER/PAJ e documentos locais.,pericia-10-peticoes; pericia-11-controle-prazos,Gerar petições compatíveis com o fluxo local e controlar documentos anexos.,Alta,Sim - verificar sistema e ato vigente,Local; adaptar a outros tribunais.
MM-080,Petições,Manual de Redação da Presidência da República,Manual de redação,Presidência da República,Clareza e impessoalidade,"Petições do perito devem ser objetivas, impessoais e sem defesa jurídica das partes.",pericia-10-peticoes,"Padronizar tom, fecho, pedidos e estrutura.",Alta,Sim - verificar edição,"Fonte de redação, não técnica."
MM-081,Petições,Jurisprudência oficial do STJ,Jurisprudência,STJ,"Honorários, suspeição e custeio","Precedentes podem reforçar pedidos de custeio, intimação e processamento de incidentes.",pericia-10-peticoes; pericia-03-proposta-honorarios,Usar apenas quando o pedido exigir reforço jurídico-processual.,Alta,Sim - verificar precedentes atuais,Não substituir lei.
MM-082,Modelos e templates,Estrutura padrão do laudo pericial mecânico judicial,Template interno,Base interna pericia-mecanica-os,Laudo pericial,"Template deve conter identificação, objeto, documentos, metodologia, análise, quesitos, conclusão, limitações, referências e anexos.",pericia-08-laudo-mecanico,Gerar LAUDO_PERICIAL_MECANICO.docx/.md.,Alta,Sim - revisar com prática e fontes,Modelo operacional.
MM-083,Modelos e templates,Modelo de inventário de evidências,Template CSV,Base interna pericia-mecanica-os,Rastreabilidade de evidências,"Inventário deve registrar ID, tipo, origem, data/hora, local, descrição, arquivo, preservação, relevância, quesitos, limitações e status.",pericia-06-inventario-evidencias,Gerar INVENTARIO_EVIDENCIAS.csv e validar campos obrigatórios.,Alta,Sim - revisar conforme novos tipos de evidência,Template operacional.
MM-084,Modelos e templates,Modelo de ata/termo de vistoria técnica,Template .md/.docx,Base interna pericia-mecanica-os,Registro de diligência,"Ata deve registrar processo, local, presentes, objeto, acesso, condições, documentos, evidências, medições, limitações e pendências.",pericia-05-roteiro-diligencia,Gerar ATA_VISTORIA_TECNICA.docx para campo.,Alta,Sim - revisar com prática de diligências,Template operacional.
MM-085,Modelos e templates,Modelo de anexo fotográfico,Template .md/.docx,Base interna pericia-mecanica-os,Relatório fotográfico,"Cada foto deve ter arquivo, data/hora, local, descrição técnica, finalidade, quesitos e limitação.",pericia-07-anexo-fotografico,Gerar ANEXO_FOTOGRAFICO.docx/.md a partir do inventário.,Alta,Sim - revisar padrões visuais,Template operacional.
MM-086,Modelos e templates,Modelos de petição do perito,Template .docx/.md,Base interna pericia-mecanica-os,"Aceite, honorários, diligência, prorrogação e esclarecimentos","Modelos devem ter pedido claro, fundamento mínimo, anexos e linguagem impessoal.",pericia-10-peticoes,Gerar biblioteca de modelos .docx editáveis.,Alta,Sim - adaptar ao tribunal,Não usar como petição de parte.
